baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
310.6372887,1.653045275,0.378650733,4.365620163,1.27E-05,0.000183185,ENSG00000121797
1.027178395,1.818444026,0.714109362,2.546450338,0.010882469,0.041612966,ENSG00000239576
1.596359556,2.209617172,0.754847774,2.927235463,0.003419899,0.017126325,ENSG00000222345
109.7252573,1.941954137,0.267826199,7.250799752,4.14E-13,4.17E-11,ENSG00000157445
246.7981835,1.026523871,0.342818897,2.994361976,0.002750195,0.014486965,ENSG00000163376
1231.476366,1.142876693,0.214763388,5.321562046,1.03E-07,2.99E-06,ENSG00000241163
7.171690118,1.058482041,0.306759353,3.450528987,0.000559489,0.00409559,ENSG00000276471
5.654096329,1.487260386,0.360847679,4.12157393,3.76E-05,0.000450363,ENSG00000242609
38.06996243,1.597498124,0.367646391,4.34520279,1.39E-05,0.000197524,ENSG00000168386
219.5369996,1.209592718,0.206730635,5.851056956,4.88E-09,2.01E-07,ENSG00000163606
2.664507273,1.159125371,0.419761089,2.761393087,0.005755536,0.025634007,ENSG00000240254
40.61428553,1.024728816,0.196293382,5.220394106,1.79E-07,4.79E-06,ENSG00000196981
1.889411212,1.533756409,0.576178546,2.661946405,0.007769025,0.032276397,ENSG00000249691
28.9351744,1.046335978,0.233611174,4.478963732,7.50E-06,0.000117584,ENSG00000144935
47.70463207,1.141867987,0.235106493,4.85681179,1.19E-06,2.42E-05,ENSG00000197980
179.600763,1.121009344,0.384504019,2.915468472,0.00355155,0.01760935,ENSG00000163661
40.46075156,1.069681489,0.31925711,3.350533022,0.000806562,0.005494178,ENSG00000178053
51.63803889,1.535400272,0.474661002,3.234730188,0.001217577,0.007598521,ENSG00000114315
1.811843797,2.554976491,0.823874182,3.101173149,0.001927555,0.010958535,ENSG00000251129
0.866517643,1.733865169,0.684761158,2.532072896,0.011339042,0.042886683,ENSG00000279913
11.60764649,1.047188242,0.307932608,3.400705921,0.000672121,0.004737096,ENSG00000249741
13.06095978,1.01988501,0.387036664,2.635112135,0.008410949,0.034222659,ENSG00000170390
5.470554876,1.032768988,0.370831488,2.785008881,0.005352626,0.02423909,ENSG00000248991
4.284675377,1.745308602,0.42336637,4.122454513,3.75E-05,0.000449451,ENSG00000286302
26.32246545,1.733295051,0.581941253,2.978470837,0.002896906,0.015072943,ENSG00000150625
4896.876533,1.112591387,0.278630405,3.99307243,6.52E-05,0.000708399,ENSG00000171522
539.2450676,1.381649103,0.360938815,3.827931616,0.000129225,0.001254401,ENSG00000145632
14.6519931,1.023871598,0.208062671,4.9209769,8.61E-07,1.85E-05,ENSG00000152931
2.104262356,2.509173964,0.68304732,3.673499465,0.000239251,0.002072102,ENSG00000249856
62.62203403,1.054666727,0.140607156,7.500804061,6.34E-14,7.29E-12,ENSG00000176055
496.1025852,1.123929156,0.310717952,3.61720058,0.000297807,0.002474473,ENSG00000145780
15.67914412,1.080996754,0.296825154,3.641863694,0.000270671,0.002295921,ENSG00000255833
1.750767466,1.285425979,0.511848082,2.511342768,0.012027285,0.044843765,ENSG00000252464
4.134161127,1.160328133,0.405008821,2.864945335,0.004170812,0.019935718,ENSG00000286644
4995.495691,1.581515237,0.45832635,3.450631273,0.000559277,0.004094979,ENSG00000112149
6.11171328,1.211225053,0.381182933,3.177542715,0.001485288,0.008888271,ENSG00000285849
65.75097771,1.562733667,0.536772017,2.911354572,0.003598654,0.017780849,ENSG00000197279
6.535956683,1.16345001,0.416569929,2.792928459,0.005223324,0.023741578,ENSG00000219891
825.5325369,1.240183975,0.406016774,3.054514135,0.002254254,0.012417949,ENSG00000232810
468.904482,1.182179834,0.198755348,5.947914592,2.72E-09,1.20E-07,ENSG00000204389
148.6758345,2.845011766,0.521641361,5.453961242,4.93E-08,1.56E-06,ENSG00000204388
8.757567635,1.184236935,0.349430757,3.389046072,0.000701362,0.004913072,ENSG00000204314
292.8628277,1.762089996,0.673397121,2.616717447,0.00887798,0.035696052,ENSG00000237541
367.2230303,1.35623364,0.538161743,2.520122727,0.011731392,0.043986455,ENSG00000232629
5.83286954,1.39018463,0.401596266,3.461647303,0.00053688,0.003972866,ENSG00000285888
21.8153265,1.001457146,0.320186006,3.127735522,0.001761586,0.010178189,ENSG00000180113
215.6121067,1.025253134,0.299436865,3.423937581,0.000617208,0.004423943,ENSG00000146070
8.488067425,1.093902923,0.308323827,3.547902653,0.000388312,0.003048151,ENSG00000236345
21.59293313,1.502464327,0.306680728,4.899115562,9.63E-07,2.02E-05,ENSG00000118402
4.315636501,2.606525043,0.62913349,4.143039731,3.43E-05,0.000419225,ENSG00000146250
10.87954406,1.198885859,0.377408295,3.176628273,0.001489979,0.008908347,ENSG00000154548
33.01064641,1.280646321,0.298863465,4.28505478,1.83E-05,0.000247733,ENSG00000287789
77.06970527,1.00845374,0.217698992,4.632330773,3.62E-06,6.26E-05,ENSG00000112394
40.08367817,1.701294445,0.404566072,4.205232628,2.61E-05,0.00033396,ENSG00000220412
24156.38507,1.311385556,0.471292242,2.782531601,0.005393661,0.024384102,ENSG00000118503
1.021038271,2.463315957,0.906584281,2.717139497,0.006584885,0.028426514,ENSG00000234147
161.315303,1.168241841,0.166450308,7.018562193,2.24E-12,1.99E-10,ENSG00000118496
5194.412085,1.620821382,0.3063464,5.290812566,1.22E-07,3.43E-06,ENSG00000164691
2.139303292,1.073006757,0.434281902,2.47076093,0.013482592,0.048764893,ENSG00000266245
51.31277396,1.688840286,0.620755416,2.720621104,0.00651594,0.028190931,ENSG00000106341
23.61427803,1.361048378,0.442837167,3.073473685,0.002115823,0.011774035,ENSG00000228668
3.117870218,1.263305421,0.398130442,3.173094258,0.001508235,0.008986884,ENSG00000206838
59.1060124,1.141068557,0.252062298,4.526930705,5.98E-06,9.63E-05,ENSG00000197093
137.5678898,1.006192811,0.250035531,4.024199314,5.72E-05,0.00063947,ENSG00000121716
4.139393274,1.133099944,0.309358961,3.662735165,0.000249536,0.002149456,ENSG00000287631
32.41133484,1.747259927,0.558485265,3.128569431,0.001756595,0.010162305,ENSG00000091129
286.9269494,1.535326478,0.337607903,4.547661542,5.42E-06,8.84E-05,ENSG00000173114
14.83063619,1.599262,0.272384372,5.871342713,4.32E-09,1.81E-07,ENSG00000211713
2.087729105,1.44627464,0.478237197,3.024178478,0.002493093,0.013429676,ENSG00000275243
16.74082192,1.053188571,0.300262467,3.507559847,0.000452237,0.003447503,ENSG00000243746
1185.476873,1.018647159,0.256007438,3.97897485,6.92E-05,0.000745908,ENSG00000171115
40.07455474,1.034286647,0.204299196,5.062607512,4.14E-07,9.81E-06,ENSG00000188158
25.24268189,1.311565859,0.408067743,3.214088544,0.001308593,0.008028285,ENSG00000102174
7.624296389,1.101414964,0.377751801,2.91571069,0.003548794,0.017600562,ENSG00000213997
59.3894439,1.049816629,0.397811405,2.638980722,0.008315571,0.033938115,ENSG00000274588
2.223070337,1.740301956,0.494317275,3.520617311,0.000430543,0.003309369,ENSG00000239577
317.295263,1.026693004,0.208298204,4.928957545,8.27E-07,1.78E-05,ENSG00000147138
3.705717753,2.23062323,0.549218523,4.06144938,4.88E-05,0.000560936,ENSG00000229939
11.56320598,1.044080339,0.25873179,4.035377099,5.45E-05,0.0006141,ENSG00000178947
7.895004544,1.207355788,0.447313596,2.699126071,0.006952183,0.029651267,ENSG00000036565
130.469446,1.128187249,0.356194126,3.167338168,0.001538413,0.009124306,ENSG00000120875
11.95917895,4.421460036,1.027415593,4.303477645,1.68E-05,0.000230959,ENSG00000287535
342.6581159,1.024521849,0.340202877,3.011502605,0.002599582,0.013879976,ENSG00000205189
10.61749311,1.041903571,0.268937758,3.87414389,0.000107,0.00107335,ENSG00000180938
5.148602039,1.424847079,0.47699372,2.987140122,0.002816006,0.014766903,ENSG00000253651
18.52634868,1.425296413,0.344476509,4.137572162,3.51E-05,0.000426366,ENSG00000286010
18.23744384,1.171449848,0.293323052,3.993719013,6.50E-05,0.000706699,ENSG00000287095
17.94076345,2.045142305,0.576189182,3.549428505,0.000386068,0.003033953,ENSG00000259820
20.73428249,1.204665045,0.348332317,3.458378643,0.000543437,0.00400893,ENSG00000204882
169.3163656,1.192157549,0.297309397,4.009821281,6.08E-05,0.000670685,ENSG00000261150
11.39074199,1.023077967,0.292856534,3.493444226,0.000476833,0.003602879,ENSG00000255559
